Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  #11998389   #11998362   #11998133   #11998132   #11997856   #11997831   #11997811   #11997803
  #11997796   #11997754   #11997724   #11997674   #11997596   #11997177   #11997137   #11996991
  #11996844   #11996678   #11996572   #11996571   #11996481   #11996260   #11995770   #11995643
  #11995601   #11995226   #11995096   #11995032   #11995013   #11994998   #11994915   #11994904
  #11994877   #11994870   #11994823   #11994690   #11994675   #11994669   #11994509   #11994401
  #11994384   #11994358   #11994352   #11994327   #11994302   #11994228   #11994223   #11994067
  #11993955   #11993803   #11993787   #11993668   #11993493   #11993412   #11993343   #11993322
  #11993165   #11993097   #11992685   #11992669   #11992646   #11992497   #11992496   #11992489
  #11992485   #11992415   #11992350   #11992318   #11992286   #11992270   #11992260   #11992243
  #11992208   #11992124   #11991881   #11991714   #11990689   #11990563   #11990392   #11990355
  #11990116   #11989896   #11989661   #11989594   #11989580   #11989524   #11989403   #11989212
  #11989099   #11989092   #11989066   #11988826   #11988740   #11988385   #11988364   #11988360
  #11988234   #11988210   #11988157   #11988009   #11987968   #11987691   #11987611   #11987526
  #11987336   #11987335   #11987302   #11987276   #11987204   #11987078   #11986873   #11986749
  #11986714   #11986442   #11986362   #11986359   #11986117   #11986101   #11985828   #11985679
  #11985678   #11984857   #11984725   #11984580   #11984400   #11984389   #11984334   #11983757
  #11983653   #11983559   #11982671   #11982512   #11982215   #11981615   #11981181   #11981137
  #11981066   #11980818   #11980711   #11980565   #11980423   #11980099   #11979999   #11979974
  #11979785   #11979709   #11979677   #11979662   #11979514   #11979409   #11979181   #11979167
  #11979074   #11979062   #11979031   #11978930   #11978852   #11978816   #11978782   #11978768
  #11978761   #11978734   #11978724   #11978602   #11978435   #11978410   #11978408   #11978404
  #11978297   #11978250   #11977953   #11977928   #11977843   #11977832   #11977311   #11977293
  #11977277   #11977011   #11977010   #11976928   #11976773   #11976562   #11976561   #11976318
  #11976126   #11975853   #11975616   #11975490   #11975372   #11975355   #11975307   #11975212
  #11975062   #11974167   #11974166   #11973437   #11973196   #11972619   #11972541   #11972391
  #11972332   #11972272   #11971911   #11971823   #11971561   #11971545   #11971221   #11971121
  #11970945   #11970491   #11970477   #11970410   #11969461   #11969194   #11968943   #11968778
  #11968750   #11968709   #11968326   #11968065   #11967384   #11966375   #11965877   #11965849
  #11965760   #11965544   #11965482   #11965393   #11965180   #11965009   #11964660   #11964541
  #11964423   #11964381   #11964289   #11963860   #11963829   #11963795   #11963781   #11963729
  #11963658   #11963591   #11963500   #11962979   #11962877   #11962777   #11962448   #11962430
  #11961404   #11961215   #11961194   #11961144   #11961091   #11961039   #11961032   #11960996
  #11960979   #11960650   #11959669   #11959647   #11959032   #11958721   #11957782   #11957278
  #11956999   #11956478   #11955767   #11954187   #11953538   #11953271   #11953244   #11952494
  #11952303   #11950806   #11950628   #11950603   #11950457   #11950384   #11949804   #11949702
  #11949686   #11949094   #11949029   #11948715   #11948643   #11947520   #11944964   #11944820
  #11944252   #11943895   #11943370   #11942012   #11941429   #11941337   #11941159   #11940893
  #11940878   #11940804   #11940803   #11940283   #11940024   #11939995   #11939925   #11939758
  #11939453   #11939322   #11938944   #11937651   #11937498   #11937480   #11936806   #11936501
  #11936265   #11936131   #11935141   #11934708   #11934224   #11934220   #11934205   #11934186
  #11933774   #11933536   #11933317   #11933052   #11932859   #11932637   #11930135   #11930070
  #11928051   #11927519   #11927164   #11926870   #11926862   #11926853   #11926851   #11926839
  #11926525   #11926474   #11925937   #11925157   #11924704   #11924630   #11923646   #11922882
  #11922264   #11919836   #11919742   #11918461   #11918185   #11917695   #11917558   #11917553
  #11917239   #11917067   #11916857   #11916510   #11916439   #11916282   #11916187   #11916031
  #11915707   #11915540   #11915110   #11914852   #11914802   #11914416   #11913489   #11912511
  #11912479   #11911884   #11910491   #11910047   #11908613   #11907863   #11907543   #11907121
  #11905809   #11904414   #11903878   #11903454   #11903164   #11902023   #11901870   #11900104
  #11899246   #11899097   #11898360   #11893137   #11892892   #11891930   #11888459   #11887813
  #11887510   #11887369   #11887320   #11887023   #11886291   #11885785   #11883228   #11883146
  #11882798   #11882132   #11880408   #11879935   #11878884   #11878176   #11878131   #11876884
  #11876721   #11874227   #11872255   #11866343   #11864901   #11864197   #11863830   #11862797
  #11862443   #11860272   #11859072   #11858551   #11858002   #11856435   #11854972   #11851919
  #11849532   #11846727   #11845442   #11841241   #11840573   #11836853   #11836537   #11836391
  #11836328   #11836267   #11834800   #11827718   #11826797   #11826455   #11826374   #11826335
  #11817129   #11813764   #11797192   #11795583   #11794281   #11791447   #11789247   #11786869
  #11785874   #11785594   #11785305   #11785299   #11781586   #11778704   #11771825   #11760363
  #11756278   #11729397   #11726229   #11720584



========================================================================
  LOST AND FOUND  [MANUAL]  --  57 tickets
========================================================================
  Title / Customer Message                    Status    Date           Ticket ID
  ------------------------------------------------------------------------
  i lost or found something 10:16 am i los...      Open      26 Mar, 26     #12009046
  i lost or found something 10:08 am i los...      Open      26 Mar, 26     #12008972
  i lost or found something 9:54 am i lost... [R]  Open      26 Mar, 26     #12008852
  i lost or found something 9:54 am i lost...      Open      26 Mar, 26     #12008849
  i lost or found something 9:34 am i lost... [R]  Open      26 Mar, 26     #12008668
  i lost or found something 9:15 am i lost... [R]  Open      26 Mar, 26     #12008479
  i lost or found something 8:54 am i lost... [R]  Open      26 Mar, 26     #12008234
  i lost or found something 8:50 am i lost... [R]  Open      26 Mar, 26     #12008171
  i lost or found something 8:43 am i lost... [R]  Open      26 Mar, 26     #12008059
  i lost or found something 8:36 am i lost...      Open      26 Mar, 26     #12007956
  i lost or found something 7:39 am i lost... [R]  Open      26 Mar, 26     #12006934
  i lost or found something 7:15 am i lost... [R]  Open      26 Mar, 26     #12006429
  i lost or found something 9:00 pm i lost... [R]  Open      25 Mar, 26     #12002818
  i lost or found something 7:41 pm i lost...      Open      25 Mar, 26     #12001947
  i lost or found something 7:32 pm i lost... [R]  Open      25 Mar, 26     #12001844
  i lost or found something 7:24 pm i lost...      Open      25 Mar, 26     #12001725
  i lost or found something 4:20 pm i lost...      Open      25 Mar, 26     #11998165
  i lost or found something 4:00 pm i lost... [R]  Open      25 Mar, 26     #11997803
  i lost or found something 10:45 am i los...      Open      25 Mar, 26     #11994973
  i lost or found something 10:38 am i los... [R]  Open      25 Mar, 26     #11994915
  i lost or found something 10:30 am i los... [R]  Open      25 Mar, 26     #11994823
  i lost or found something 10:29 am i los...      Open      25 Mar, 26     #11994820
  i lost or found something 10:04 am i los...      Open      25 Mar, 26     #11994566
  i lost or found something 8:37 am i lost... [R]  Open      25 Mar, 26     #11993412
  i lost or found something 7:48 am i lost... [R]  Open      25 Mar, 26     #11992243
  i lost or found something 5:25 am i lost... [R]  Open      24 Mar, 26     #11989896
  i lost or found something 10:27 pm i los... [R]  Open      24 Mar, 26     #11988234
  i lost or found something 10:06 pm i los...      Open      24 Mar, 26     #11987931
  i lost or found something 9:20 pm i lost...      Open      24 Mar, 26     #11987369
  i lost or found something 7:53 pm i lost... [R]  Open      24 Mar, 26     #11986359
