Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  i lost or found something 6:00 pm i lost... [R]  Open      24 Mar, 26     #11984389
  i lost or found something 2:13 pm i lost... [R]  Open      24 Mar, 26     #11980818
  i lost or found something 1:37 pm i lost...      Open      24 Mar, 26     #11980490
  hey hi 6:31 pm i have got my lunch box, ...      Open      24 Mar, 26     #11979188
  i lost or found something 10:22 am i los... [R]  Open      24 Mar, 26     #11979074
  i lost or found something 9:51 am i lost... [R]  Open      24 Mar, 26     #11978782
  i lost or found something 9:45 am i lost... [R]  Open      24 Mar, 26     #11978724
  i lost or found something 8:40 am i lost... [R]  Open      24 Mar, 26     #11977843
  i lost or found something 7:28 am i lost... [R]  Open      24 Mar, 26     #11975490
  i lost or found something 12:19 am i los... [R]  Open      23 Mar, 26     #11973437
  i lost or found something 9:57 pm i lost... [R]  Open      23 Mar, 26     #11971823
  i lost or found something 6:02 pm i lost... [R]  Open      23 Mar, 26     #11968778
  i lost or found something 11:27 am i los...      Open      23 Mar, 26     #11963922
  i lost or found something 7:56 pm i lost... [R]  Open      20 Mar, 26     #11954187
  i lost or found something 6:05 pm i lost...      Open      20 Mar, 26     #11953323
  i lost or found something 5:58 pm i lost... [R]  Open      18 Mar, 26     #11938944
  i lost or found something 2:54 pm i lost... [R]  Open      18 Mar, 26     #11936131
  suggestions: route, timing, stop 1:57 pm...      Open      18 Mar, 26     #11935564
  i lost or found something 10:35 am i los... [R]  Open      18 Mar, 26     #11934205
  i lost or found something 2:10 pm i lost... [R]  Open      17 Mar, 26     #11919836
  i lost or found something 11:33 am i los...      Open      17 Mar, 26     #11918783
  i lost or found something 10:08 am i los... [R]  Open      17 Mar, 26     #11918185
  i lost or found something 9:07 am i lost... [R]  Open      17 Mar, 26     #11917553
  i have an issue with driver 5:58 pm talk...      Open      16 Mar, 26     #11907903
  i lost or found something 1:22 pm i lost...      Open      16 Mar, 26     #11904035
  i lost or found something 7:11 pm i lost...      Open      13 Mar, 26     #11891901

  Ticket IDs:
  #12009046   #12008972   #12008852   #12008849   #12008668   #12008479   #12008234   #12008171
  #12008059   #12007956   #12006934   #12006429   #12002818   #12001947   #12001844   #12001725
  #11998165   #11997803   #11994973   #11994915   #11994823   #11994820   #11994566   #11993412
  #11992243   #11989896   #11988234   #11987931   #11987369   #11986359   #11984400   #11984389
  #11980818   #11980490   #11979188   #11979074   #11978782   #11978724   #11977843   #11975490
  #11973437   #11971823   #11968778   #11963922   #11954187   #11953323   #11938944   #11936131
  #11935564   #11934205   #11919836   #11918783   #11918185   #11917553   #11907903   #11904035
