#,Route Name,Departure,First Pickup Stop,Last Pickup Stop
167,New Panvel - K1 ( General),08:00:00,Dmart New panvel,"Asudgaon depot, Sec-18 DFPCL"
168,Thane - Navi Mumbai,08:00:00,Lodha Splendora,Saket
169,Vashi - South Mumbai,08:00:00,Reliance Smart Point,Vashi Gaon 
170,Ashok Deluxe - Santacruz,08:01:00,Ashok deluxe apartments UNext,Ashok deluxe apartments UNext
171,Nanded City - Commerzone,08:05:00,Asawari gate (B&V),Sangamwadi B&V
172,Shuttle 1 (Juinagar station - Mindspace),08:05:00,Juinagar station service road,Juinagar station service road
173,Shuttle 2 (Juinagar station - Mindspace),08:05:00,Juinagar station service road,Juinagar station service road
174,Shuttle 3 (Juinagar station - Mindspace),08:05:00,Juinagar station service road,Juinagar station service road
175,Andheri (W) - BKC,08:10:00,Lokhandwala Circle,Shree Ram Nagar
176,JNPT - K1 (General),08:10:00,Pallavi hotel,Gavhan Phata
177,Kamothe - K1 (General),08:10:00,Central bank of india Kamothe DFPCL,Navde phata DFPCL
178,Kanjurmarg - Powai,08:10:00,Suncity Highway Tata Project,Suncity Highway Tata Project
179,Mulund - BKC,08:10:00,City of Joy, Kannamwar Nagar
180,Thane - BKC,08:10:00,Lodha Splendora,Godrej One
181,BANDRA - BKC (Pfizer) (1),08:15:00,Bandra Station Skywalk (Pfizer),Bandra Station Skywalk (Pfizer)
182,Mira Bhayandar - Powai,08:15:00,Maxus Mall,Jogeshwari Metro Station
183,Mistry Apartment - Time Square,08:15:00,Mistry appartments (Unext),Mistry appartments (Unext)
184,Mulund - Goregaon East (STH),08:15:00,Tirumala Habitats,Bhandup Pumping Bus Stop
185,Mulund - Lower Parel,08:15:00,Tirumala Habitats,Police Stn Walk Bridge
186,Navi Mumbai - BKC,08:15:00,Balaji Heights,Shivaji Chowk
187,Kopri - Thane,08:15:56,Sai Baba Mandir Thane Stn.(E) Bayer,Brahmand Bayer
188,CBD Railway station - K8 (General),08:20:00,Asud gaon DFPCL,Dmart DFPCL
189,Vashi - Andheri,08:20:00,Vashi Railway Station,Bhandup Pumping Bus Stop
190,Palm Beach Road - Lower Parel,08:20:45,Inorbit Mall,"Delta Tower, Ulwe"
191,Thane - Santacruz,08:25:00,Lodha Splendora,Godrej One
192,Andheri Station - Ackruti Trade Center (O),08:30:00,Andheri station east,Andheri station east
193,Ashok Deluxe - Time square (2),08:30:00,Ashok deluxe apartments UNext,Ashok deluxe apartments UNext
194,BANDRA - BKC (Pfizer) (3),08:30:00,Bandra Station Skywalk (Pfizer),Bandra Station Skywalk (Pfizer)
195,Kandivali - BKC,08:30:00,Mineral house ,Mineral house 
196,Kandivali - BKC (Cabs),08:30:00,Kandivali West Metro Station ,Evershine Nagar 
197,kurla station - BKC (Pfizer),08:30:00,Orchid school (Pfizer),Orchid school (Pfizer)
198,Thane - Goregaon East (NTH),08:30:00,Majiwada Bus Stop,Opposite Lodha Splendora
199,Chembur - Powai (Emerson),08:40:00,BARC Main Gate Emerson,BARC Main Gate Emerson
200,Mulund - South Mumbai,08:40:00,Tirumala Habitats,Indian Oil Nagar
